Date,ISO Week,Reporting week,Time (A),State,LGA,Village,Road,Lat,Long,Description,Incident type,Incident Category,Threat Category,Perpetrator,Target,Fatality
01/01/2021,1,01.01.2021 - 07.01.2021,06:00,YOBE,GUJBA,BUNI YADI, ,11.263899,12.0129,"A male criminal *theft / mugging* a bicycle parked in front of a mosque. Four hours later, vigilantes acting on a tip-off apprehended *arrest* *arrest* *arrest* the criminal inside the market and recovered the bicycle, before handing him over to GF/NPF.",Theft/Mugging,Theft,Criminality,Criminals,Civilians,45
01/01/2021,1,01.01.2021 - 07.01.2021,07:00,BORNO,MMC/JERE,MOLAI, ,11.747799,13.067399,"OAG operatives with rifles freed two civilians at the outskirts of this area. They had earlier been  Kidnap/Abduction during a VCP along Maiduguri-Damaturu road. Reportedly, the operatives gave each of them 30,000 Naira.",Hostage release,Rule,Terrorism,OAG,Civilians,5
01/01/2021,1,01.01.2021 - 07.01.2021,13:00,BORNO,NGANZAI,BURIMARI,MONGUNO - GAJIRAM RD,12.57236,13.303469,"OAG operatives with rifles set up an *IVCP* along the road. They stopped several commercial vehicles in transit and robbed the passengers of money and other valuables. The operatives carjacked two commercial vehicles conveying foodstuff and Kidnap/Kidnap/Abductionion the drivers. Shortly after, they freed the vehicles along with the drivers after the vehicles showed signs of mechanical failure. ",IVCP,Theft,Terrorism,OAG,Civilians,5
01/01/2021,1,01.01.2021 - 07.01.2021,16:00,BORNO,GUZAMALA,ALJARI,MONGUNO - GAJIRAM RD,12.674469,13.396269,"OAG operatives with rifles set up an *IVCP* along this road. They stopped four commercial vehicles in transit and Kidnap/Kidnap/Abductionion the occupants of two of the vehicles (16 male passengers and two drivers) and took the vehicles. Thereafter, they asked all the passengers of the other two commercial vehicles to disembark and subsequently carjacked the vehicles and Kidnap/Kidnap/Abductionion the drivers only. They took the four vehicles and the Kidnap/Abductionees into the bush. Thereafter, the operatives robbed the 16 passengers and two drivers of money and valuables before releasing them and left two vehicles, while keeping two other vehicles. Two other drivers remained captive.",IVCP,Confine,Terrorism,OAG,Civilians,3
01/01/2021,1,01.01.2021 - 07.01.2021,U/N,ADAMAWA,NUMAN,NUMAN, ,9.459844,12.035928,"A male criminal attempted to burgle a residence. Nearby civilians sighted, apprehended *arrest* *arrest* and handed him over to GF/NPF.",Burglary,Theft,Criminality,Criminals,Civilians,1
01/02/2021,1,01.01.2021 - 07.01.2021,01:00,YOBE,POTISKUM,POTISKUM, ,11.697299,11.055999,Criminals *burlary* a residence and *theft / mugging* mobile phones.,Burglary,Theft,Criminality,Criminals,Civilians,0
01/02/2021,1,01.01.2021 - 07.01.2021,08:00,BORNO,KONDUGA,GONI MASARI,MAIDUGURI - NGAMDU RD,11.825499,12.681799,"OAG operatives with rifles set up an *IVCP* along the road. They stopped several commercial vehicles in transit, asked for passengers’ identification and subsequently Kidnap/Kidnap/Abductionion nine civilians including an IO staff. The operatives allowed the remaining passengers to continue their journey.  ",IVCP,Confine,Terrorism,OAG,Civilians,34
01/02/2021,1,01.01.2021 - 07.01.2021,11:00,YOBE,DAMATURU,DAMATURU, ,11.74065,11.958,Commercial tricycle riders staged a demonstration against transport officials and blocked a section of the road. GF/NPF deployed to the area and dispersed the crowd. One male child sustained injuries during the demonstration.,Protest,Rule,Civil Unrest,Civilians,Government Forces,0
01/02/2021,1,01.01.2021 - 07.01.2021,12:00,BORNO,MAFA,UNKNOWN/OTHER SETTLEMENT, ,12.178299,13.569499,OAG operatives with rifles freed one of the four drivers that had been  Kidnap/Abduction with their vehicles during a VCP at Aljari on 01.01.2020.,Hostage release,Rule,Terrorism,OAG,Civilians,0
01/02/2021,1,01.01.2021 - 07.01.2021,12:00,BORNO,KONDUGA,MAKINTA MELERI, ,11.645195,13.348418,"OAG operatives with rifles on foot came across a group of civilians fetching firewood,  Kidnap/Abduction one male civilian while others managed to escape.",Kidnap/Abduction,Confine,Terrorism,OAG,Civilians,0
